target_id,timestamp,failure_type,accuracy,test_time,total_frames,success_frames,error_frame_file
20,62.0651,FAILURE,42,5.00031,400,168,error_target_20_t62.jpg
22,70.0888,FAILURE,50.6234,5.01128,401,203,error_target_22_t70.jpg
38,120.277,FAILURE,48.6284,5.01128,401,195,error_target_38_t120.jpg
56,176.488,FAILURE,48.1297,5.01128,401,193,error_target_56_t176.jpg
75,235.711,FAILURE,45.6359,5.01128,401,183,error_target_75_t235.jpg
26,80.1238,FAILURE,53.1172,5.01128,241,132,251,241,132,251,4,135,199,246,23,3,23,116,5,202,57,244,231,241,132,251,401,213,error_target_26_t80.jpg
29,91.1586,FAILURE,50.8728,5.01128,23,3,23,23,3,23,1,23,51,215,23,3,23,7,237,19,167,1,98,241,132,251,401,204,error_target_29_t91.jpg
44,138.335,FAILURE,50.8728,5.01128,241,132,251,241,132,251,0,241,132,251,135,199,246,23,51,215,221,66,76,23,3,23,401,204,error_target_44_t138.jpg
48,152.381,FAILURE,52.1197,5.01128,23,3,23,23,3,23,3,221,66,76,241,132,251,7,237,19,23,3,23,85,152,55,401,209,error_target_48_t152.jpg
59,187.51,FAILURE,55.611,5.01128,23,3,23,23,3,23,0,23,3,23,17,168,214,221,66,76,7,237,19,241,132,251,401,223,error_target_59_t187.jpg
86,270.783,FAILURE,50,5.00488,241,132,251,241,132,251,3,23,3,23,221,66,76,7,237,19,241,132,251,167,1,98,400,200,error_target_86_t270.jpg
100,314.826,FAILURE,48.75,5.00488,241,132,251,241,132,251,3,116,5,202,23,3,23,57,244,231,241,132,251,17,168,214,400,195,error_target_100_t314.jpg
116,364.875,FAILURE,47.5,5.00488,23,3,23,23,3,23,1,221,66,76,23,3,23,241,132,251,116,5,202,216,199,167,400,190,error_target_116_t364.jpg
